#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
-0.55,445,2720.826286
0.04,504,2722.688805
1.85,685,2725.213541
-0.62,438,2726.796417
-0.2,480,2728.539285
-0.41,459,2730.223738
0.75,575,2732.297999
0.0,500,2734.143977
0.05,505,2735.972826
-0.31,469,2737.710227
2.71,771,2740.563801
-0.63,437,2742.135488
0.87,587,2744.31737
-0.7,430,2745.907048
-0.53,447,2747.567122
-0.47,453,2749.247855
0.45,545,2751.257608
-1.3,370,2752.622392
-0.04,496,2754.425015
3.67,867,2760.064272
0.22,522,2761.962947
0.93,593,2764.079589
0.4,540,2766.051156
0.45,545,2768.065242
1.08,608,2770.337055
-0.53,447,2771.951164
2.41,641,2774.342386
2.28,728,2777.022629
3.83,783,2779.900609
0.56,556,2781.976938
0.45,545,2783.942918
-0.78,422,2785.496768
1.86,686,2788.018253
4.57,857,2791.210523
1.35,635,2793.533014
1.67,667,2798.436285
-0.73,427,2800.023052
0.3,530,2801.972991
3.03,803,2804.989767
-0.64,436,2806.611541
0.0,500,2808.434366
0.98,598,2810.660318
0.07,507,2812.541079
1.15,615,2814.809627
2.51,651,2817.157238
-0.41,459,2818.860778
-1.03,397,2820.286326
1.39,639,2822.677356
0.98,598,2824.854673
-0.47,453,2826.480943
1.22,622,2828.729696
1.54,554,2830.772011
1.12,612,2833.044725
1.01,601,2837.704241
0.0,500,2839.530802
1.3,630,2841.856531
1.05,605,2844.070273
0.65,565,2846.213849
1.39,639,2848.554855
1.83,683,2851.036973
1.22,622,2853.320623
2.59,759,2856.156405
0.26,526,2858.101186
2.39,739,2860.795993
3.32,732,2863.499264
2.39,639,2865.850179
0.36,536,2867.810904
0.06,506,2869.69647
0.82,582,2871.861046
-0.69,431,2875.936665
1.79,679,2878.430074
1.35,635,2880.766947
0.36,536,2882.739074
-0.62,438,2884.360515
0.95,595,2886.575783
2.85,685,2889.025508
-0.27,473,2890.732555
-0.67,433,2892.33058
2.98,698,2894.937017
1.75,675,2897.418118
0.73,573,2899.54621
2.3,730,2902.291747
0.35,535,2904.274148
0.14,514,2906.18294
1.98,698,2908.72425
1.98,698,2911.283805
3.06,806,2916.785326
2.54,754,2919.579079
-0.1,490,2921.312449
0.64,564,2923.348843
1.54,654,2925.757156
0.96,596,2927.904142
3.75,775,2930.70714
3.01,801,2933.648601
1.36,636,2936.00616
0.79,579,2938.144457
1.45,645,2940.494149
1.27,627,2942.812978
1.83,683,2945.359685
2.24,724,2947.970421
1.56,656,2950.386334
0.72,572,2955.026357
2.32,732,2957.737741
0.54,554,2959.809833
1.87,687,2962.412528
1.3,630,2964.864295
-1.28,372,2966.326461
0.05,505,2968.271796
0.08,508,2970.121194
0.99,599,2972.409662
-0.09,491,2974.262828
1.21,621,2976.545808
2.66,766,2979.327275
1.78,678,2981.821719
1.81,681,2984.338128
3.63,763,2987.174958
0.45,545,2989.205675
0.6,560,2993.818135
-0.16,484,2995.645494
0.36,536,2997.678831
-0.06,494,2999.522743
-0.31,469,3001.287182
1.5,650,3003.749896
-0.27,473,3005.490563
1.55,655,3007.909889
0.65,565,3010.019696
0.2,520,3011.941993
2.72,672,3014.440495
2.4,740,3017.199783
3.01,701,3019.795812
0.41,541,3021.788587
2.46,746,3024.531216
2.07,707,3027.194836
