#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
0.87,587,665.205425
1.02,602,667.518478
1.12,612,669.892492
3.56,856,673.092239
-0.91,409,674.640386
0.68,568,676.77589
1.41,641,679.200132
0.74,574,681.337957
1.69,669,683.802661
-0.97,403,685.335854
1.31,631,687.669849
0.39,539,689.715007
-0.73,427,691.344734
-0.41,459,695.710675
1.26,626,698.10331
-0.06,494,699.989179
1.53,653,702.467533
1.42,642,704.848988
0.0,500,706.748534
-0.43,457,708.511992
1.85,685,711.100142
-0.89,411,712.657218
1.86,686,715.266327
-0.71,429,716.918387
0.66,566,719.031605
1.09,609,721.351218
3.33,833,724.536509
1.07,607,726.890025
-0.54,446,728.53238
-0.38,462,730.347858
2.03,703,733.130238
0.5,550,738.060025
-0.21,479,739.934281
-0.5,450,741.677544
1.65,665,744.303044
2.42,742,747.129535
1.04,604,749.524251
1.95,695,752.191047
2.57,657,754.738694
2.24,724,757.538401
-0.58,442,759.20912
-0.27,473,761.056022
1.03,603,763.377969
-0.64,436,765.086704
0.48,548,767.172891
-1.07,393,768.728502
1.61,661,771.379765
-0.25,475,773.19313
0.2,520,775.220976
-0.07,493,779.872592
2.27,627,782.430206
1.72,672,784.980103
-0.16,484,786.872395
-0.51,449,788.619461
0.07,507,790.592385
-0.92,408,792.15997
0.09,509,794.159312
1.97,697,796.800308
2.53,753,799.670133
1.65,665,802.186893
0.33,533,804.211639
0.74,574,806.368239
1.1,610,808.618649
0.05,505,810.564674
-0.4,460,812.300144
1.28,628,814.67747
0.14,514,819.292851
4.43,843,822.49599
0.39,539,824.504386
-1.11,389,825.961516
-0.5,450,827.650465
5.34,1034,831.574537
-1.11,389,833.053843
2.44,744,835.841345
0.71,571,838.061259
0.86,586,840.286702
0.68,568,842.45336
0.22,522,844.412941
-0.56,444,846.132244
1.15,615,848.456441
0.88,588,850.723404
0.04,504,852.673211
-0.86,414,854.218071
-0.72,428,855.900929
3.93,893,862.022847
-1.07,393,863.554337
-0.32,468,865.314675
2.52,752,868.165164
5.43,943,871.844215
0.67,567,874.160251
0.29,529,876.308264
3.84,784,879.393036
-0.43,457,881.147786
0.96,596,883.483954
0.85,585,885.726705
-0.5,450,887.455946
-0.06,494,889.359732
0.96,596,891.634519
1.49,649,894.12547
0.15,515,896.125121
1.2,620,898.469523
1.44,644,903.536513
2.91,691,906.19225
0.45,545,908.361376
-0.11,489,910.259869
4.06,906,913.69905
0.5,550,915.884223
1.1,610,918.217047
1.42,642,920.636763
0.13,513,922.581175
-0.4,460,924.32436
-0.28,472,926.169692
-0.29,471,927.973789
3.74,874,931.418071
0.46,546,933.532185
0.88,588,935.872784
2.66,766,938.795223
1.85,685,944.380134
-0.11,489,946.219399
0.11,511,948.122911
1.38,538,950.197565
-0.15,485,952.040538
-0.13,487,953.893621
-0.17,483,955.7549
3.54,754,958.680984
2.0,700,961.403931
4.36,836,964.627093
3.13,713,967.304651
2.14,714,970.046363
0.3,530,972.067846
-0.27,473,973.858918
4.0,700,976.506639
3.03,803,979.546028
4.26,826,985.294955
5.74,974,988.907413
0.39,539,990.997036
0.51,551,993.091778
-0.79,421,994.710998
-0.3,470,996.429684
3.04,804,999.440684
3.58,858,1002.713427
1.31,631,1005.09013
0.78,578,1007.275939
0.77,577,1009.437544
1.22,622,1011.794036
-0.4,460,1013.490656
1.98,698,1016.111557
2.4,640,1018.483739
0.78,578,1020.708964
-0.06,494,1025.144583
3.15,715,1027.89004
-0.4,460,1029.628078
-1.29,371,1031.042716
1.16,616,1033.355953
-0.19,481,1035.177394
-1.0,400,1036.686651
3.3,730,1039.443376
3.73,773,1042.416234
5.23,1023,1046.278724
1.32,632,1048.698137
0.23,523,1050.696719
0.42,542,1052.743994
0.81,581,1054.891698
0.19,519,1056.903532
0.31,531,1058.916178
1.01,601,1061.213483
1.35,635,1066.255402
-0.49,451,1067.957339
-0.64,436,1069.614108
0.31,531,1071.665721
3.51,751,1074.519296
0.1,510,1076.475765
1.19,619,1078.782878
0.84,584,1081.014894
0.4,540,1083.048025
-0.72,428,1084.66949
-0.2,480,1086.492422
0.56,556,1088.631173
2.04,604,1090.912608
1.76,676,1093.462683
-0.63,437,1095.134243
-0.26,474,1096.914598
2.65,765,1099.808092
1.45,645,1102.258239
0.71,571,1107.062967
0.75,575,1109.231012
0.77,577,1111.377038
1.85,685,1113.960719
1.63,663,1116.452409
-1.1,390,1117.930638
0.58,558,1120.073476
2.66,666,1122.595917
0.46,546,1124.684423
0.35,535,1126.741235
0.74,574,1128.94937
2.21,721,1131.6813
1.81,681,1134.214007
4.86,886,1137.595279
-0.33,467,1139.328926
3.96,796,1142.328957
-0.28,472,1146.725799
0.42,542,1148.765779
-0.02,498,1150.715755
2.5,750,1153.498936
1.59,659,1155.935364
3.68,868,1159.199499
2.85,685,1161.747029
0.14,514,1163.713673
-0.2,480,1165.527648
1.75,575,1167.681826
1.17,617,1170.022635
1.15,615,1172.391049
0.38,538,1174.408855
0.1,510,1176.293969
0.08,508,1178.197789
-0.21,479,1179.985081
1.5,650,1182.436498
0.32,532,1187.149819
0.93,593,1189.411243
2.79,779,1192.385504
0.16,516,1194.377726
1.22,522,1196.367592
1.41,641,1198.81632
-0.7,430,1200.422279
1.6,560,1202.524104
2.6,760,1205.470578
1.38,638,1207.874645
0.33,533,1209.91669
0.83,583,1212.156822
0.61,561,1214.284777
3.75,875,1217.601345
3.66,866,1220.911099
0.31,531,1222.97588
0.86,586,1227.788148
1.16,616,1230.108713
1.63,563,1232.230036
1.59,659,1234.719544
0.78,578,1236.860993
0.77,577,1238.92625
-0.69,431,1240.510761
-0.4,460,1242.179155
-0.29,471,1243.860124
0.12,512,1245.710337
5.53,953,1249.141779
0.54,554,1251.164883
1.11,611,1253.342187
-1.03,397,1254.785754
-0.21,479,1256.503787
-0.23,477,1258.236693
1.26,626,1260.513559
2.23,723,1265.528273
2.5,750,1268.237179
1.69,569,1270.329625
1.7,570,1272.431184
2.24,724,1275.095556
6.31,1031,1278.894474
3.16,716,1281.572913
0.85,585,1283.74102
0.72,572,1285.920472
1.57,657,1288.351446
1.35,635,1290.685484
0.8,580,1292.81334
0.21,521,1294.787434
2.24,724,1297.47618
0.64,564,1299.605347
3.81,781,1302.474986
2.66,766,1307.908466
-0.64,436,1309.549555
1.51,551,1311.621749
0.35,535,1313.55007
1.32,532,1315.517835
-0.41,459,1317.223146
0.06,506,1319.107414
-0.2,480,1320.864046
0.11,511,1322.737637
0.31,531,1324.652097
1.44,644,1327.058404
3.04,804,1329.99631
1.02,602,1332.18755
2.11,611,1334.415981
0.98,598,1336.641929
3.69,869,1339.876785
-0.03,497,1341.703861
1.34,634,1346.467694
1.85,585,1348.642867
2.59,659,1351.07201
1.35,635,1353.380561
0.37,537,1355.380378
1.71,671,1357.900703
-0.28,472,1359.680279
-0.86,414,1361.194039
-0.81,419,1362.759066
0.91,591,1364.927769
0.93,593,1367.117422
-0.1,490,1368.922745
2.0,700,1371.56006
-0.26,474,1373.313851
2.45,745,1376.054963
