#{"t_start": 1627858719.4328291, "env_id": "SlimeVolley-v0"}
r,l,t
-5,703,1.633702
-5,487,1.91528
-5,537,2.216085
-5,476,2.486915
-5,439,2.762862
-5,599,3.149978
-5,423,3.407264
-5,835,6.440596
-5,450,6.691833
-5,667,7.03612
-5,445,7.264341
-5,556,7.578569
-5,505,7.862699
-4,612,8.181125
-5,550,10.891052
-5,495,11.167941
-5,510,11.459518
-5,498,11.728559
-5,776,12.160807
-5,648,12.512091
-5,499,12.792949
-4,577,13.118786
