#{"t_start": 1627866007.343853, "env_id": "SlimeVolley-v0"}
r,l,t
-5,607,195.100467
-5,491,195.599705
-5,452,196.08779
-5,601,196.681111
-5,451,197.122183
-5,514,197.609971
-5,394,198.007891
-5,724,198.73979
-5,500,199.269635
-5,481,199.773693
-5,492,200.283023
-4,793,201.064924
-5,773,201.857201
-5,721,202.56349
-5,633,203.159216
-5,658,203.802039
-5,394,204.199831
-5,500,204.754925
-5,765,205.524014
-5,687,206.176142
-5,573,206.719533
-5,701,207.407743
-5,757,208.200846
-5,597,208.798306
-5,439,209.224969
-5,565,209.78654
-5,711,210.501234
-5,525,211.012534
-4,820,211.840493
-5,487,212.32137
-5,388,212.699174
-5,444,213.136533
-5,881,213.992027
-5,389,214.374385
-5,1105,215.488495
-5,620,216.088229
-5,641,216.742357
-5,568,217.333472
-5,562,217.88175
-5,542,218.414587
-5,775,219.172433
-5,444,219.626643
-5,550,220.153387
-5,414,220.540714
-5,509,221.055315
-5,725,221.763772
-5,658,222.428344
-5,469,222.896354
-5,854,223.763068
-5,661,224.433537
-4,756,225.204339
-5,529,225.718742
-3,805,226.531206
-5,509,227.036405
-5,639,227.660459
-5,477,228.138774
-5,588,228.717582
-5,497,229.213321
-5,506,229.702645
-5,555,230.235069
-5,779,230.973143
-5,518,231.469089
-5,576,232.066341
-5,719,232.761783
-5,498,233.259052
-5,480,233.709002
-5,956,234.674485
-5,556,235.237677
-5,766,235.993647
-5,650,236.652306
-5,638,237.296115
-5,440,237.754222
-5,518,238.276577
-5,472,238.73282
-5,763,239.47558
-5,498,239.974866
-5,539,240.508754
-5,631,241.12862
-5,622,241.753609
-5,522,242.267519
-5,655,242.907819
-4,680,243.571419
-5,592,244.154488
-4,486,244.627354
-5,671,245.290092
-5,714,246.013301
-5,814,246.816763
-4,819,247.633798
-4,840,248.455274
-5,645,249.090541
-5,521,249.611805
-5,420,250.016703
-5,568,260.371307
-4,583,270.084984
-5,653,280.968259
-5,603,291.019058
-5,726,303.119072
-5,585,312.869014
-5,629,323.352305
-5,389,329.839064
-5,688,341.306985
-5,573,350.853853
-5,685,351.587831
-5,625,352.245627
-5,546,352.858815
-5,548,353.372592
-5,527,353.890715
-4,1107,354.894734
-4,730,355.604181
-5,484,356.08012
-4,715,356.742705
-5,384,357.100358
-5,469,357.540398
-5,674,358.217378
-5,589,358.802599
-5,678,359.461794
-5,577,359.974234
-5,721,360.678455
-4,999,361.660345
-5,607,362.24434
-4,864,363.056923
-5,481,363.522436
-5,706,364.246965
-4,714,364.906549
-4,518,365.370722
-5,586,365.924597
-5,490,366.409194
-5,633,367.073481
-5,458,367.530919
-5,425,367.976329
-5,464,368.433889
-4,618,369.045479
-4,605,369.632389
-5,536,370.1514
-5,541,370.685247
-5,446,371.138942
-5,405,371.536525
-5,870,372.430457
-4,877,373.286979
-5,882,374.150506
-5,437,374.587711
-5,601,375.195066
-5,565,375.786839
-5,759,376.578059
-5,591,377.157304
-5,606,377.761663
-5,632,378.387625
-5,646,379.044866
-5,711,379.718037
-5,412,380.10005
-5,599,380.67872
-4,810,381.49677
-5,480,381.947864
-5,633,382.591333
-5,558,383.138066
-5,830,383.975618
-5,704,384.696515
-5,596,385.278149
-5,445,385.70662
-4,714,386.448248
-5,441,386.893172
-5,580,387.512903
-5,518,388.028658
-5,649,388.684235
-5,638,389.316704
-5,865,390.196888
-4,670,390.857079
-5,564,391.427778
-4,651,392.043562
-4,656,392.703144
-5,644,393.32959
-4,898,394.240032
-5,554,394.791528
-5,638,395.445571
-5,487,395.929533
-5,540,396.486989
-5,521,397.026105
-5,493,397.546479
-3,879,398.44822
-5,510,398.942454
-5,455,399.392839
-4,556,399.933742
-5,411,400.331606
-5,484,400.804488
-4,717,401.522498
-5,621,402.138722
-5,558,402.703887
-5,527,403.234337
-5,743,403.981603
-5,555,404.536892
-5,732,405.288537
-5,635,405.942237
-5,483,406.440707
-5,701,407.13442
-5,660,407.784262
-4,716,408.508688
-5,749,409.225662
-5,502,409.74751
-5,496,410.257048
-5,473,410.719488
-5,559,411.301351
-5,630,411.955757
-4,733,412.716701
-5,638,413.363562
-5,652,414.035648
-5,703,414.710198
-5,474,415.164587
-5,474,415.632895
-5,489,416.126998
-5,761,416.911565
-5,542,417.451216
-3,777,418.218017
-5,474,418.715784
-5,587,419.296373
-5,633,419.915417
-4,640,420.55654
-5,494,421.068109
-5,848,421.921062
-4,662,422.566343
-5,858,423.410594
-5,450,423.862859
-5,860,424.724406
-5,629,425.348068
-4,849,426.231289
-4,735,426.959178
-5,547,427.486675
-5,607,428.074004
-4,706,428.7566
-5,444,429.199577
-5,482,429.699388
-4,577,430.329628
-5,512,430.868843
-5,390,431.291472
-5,593,431.889355
-5,509,432.4014
-5,481,432.915241
-5,796,433.759907
-5,509,434.267088
-5,660,434.919027
-5,746,435.640885
-3,724,436.367412
-5,589,436.964567
-5,652,437.619441
-4,573,438.205085
-5,609,438.804221
-5,673,439.459839
-5,484,439.954972
-5,748,440.70682
-5,495,441.215492
-5,605,441.825711
-5,600,442.431283
-4,821,443.273852
-4,843,444.105187
-5,490,444.593962
-5,722,445.284616
-5,474,445.774583
-5,754,446.555277
-4,709,447.271622
-5,574,447.84149
-5,509,448.336815
-4,511,448.835063
-5,480,449.314081
-5,519,449.861468
-5,468,450.327944
-4,653,450.98837
-5,650,451.600978
-5,467,452.055719
-5,644,452.703513
-5,494,453.178629
-5,524,453.695483
-5,563,454.242186
-5,477,454.705443
-5,632,455.356639
-4,786,456.126959
-5,686,456.781536
-5,558,457.347902
-5,720,458.085383
-4,674,458.776271
-5,572,459.390645
-5,505,459.89076
-5,590,460.509497
-5,565,461.151117
-5,873,462.067396
-4,783,462.874092
-5,597,463.483419
-5,831,464.279646
-5,498,464.839993
-5,574,465.408262
-5,429,465.861497
-5,541,466.436403
-5,689,467.184733
-5,632,467.837621
-5,631,468.636789
-5,598,469.496183
-5,780,470.50815
-5,855,471.683915
-5,550,472.257395
-5,548,472.829793
-5,694,473.52966
-4,612,474.157799
-5,750,474.916881
-5,509,475.515896
-5,567,476.09899
-5,574,476.720245
-5,656,477.473266
-5,799,478.44089
-5,482,478.995986
-5,529,479.586463
-5,462,480.089658
-4,621,480.781595
-5,649,481.586812
-5,609,482.565687
-4,686,483.63548
-5,515,484.446906
-4,955,485.631173
-5,812,486.577605
-5,632,487.398085
-5,638,488.195265
-5,446,488.749347
-4,784,489.594806
-4,608,490.282167
-5,475,490.834804
-5,832,491.86435
-5,679,492.611749
-5,465,493.135966
-5,461,493.637667
-5,489,494.192423
-4,882,495.193645
-5,747,496.112822
-5,472,496.664357
-5,672,497.451557
-5,690,498.231608
-5,494,498.758356
-5,767,499.615411
-4,671,500.359841
-5,678,501.121106
-5,1062,502.34995
-5,846,503.281897
-5,541,503.899532
-5,728,504.686081
-5,766,505.569438
-5,402,506.061591
-5,466,506.63403
-5,588,507.276991
-5,641,508.016885
-5,427,508.524404
-5,680,509.282853
-5,493,509.846241
-5,544,510.474971
-5,543,511.167757
-5,775,512.136752
-5,533,512.736558
-5,596,513.420754
-5,698,514.19763
-5,456,514.773643
-5,791,515.704732
-5,474,516.222602
-5,481,516.740718
-5,422,517.177123
-5,928,518.19744
-4,686,519.010562
-5,561,519.65461
-5,563,520.312124
-5,393,520.760708
-5,405,521.21442
-5,648,521.941141
-5,658,522.724236
-5,455,523.322677
-5,540,523.94039
-5,628,524.666126
-5,510,525.258463
-5,740,526.127126
-5,506,526.669354
-5,595,527.327861
-5,706,528.037534
-5,485,528.6367
-5,440,529.146677
-4,555,529.74677
-5,816,530.640652
-5,484,531.215561
-3,1083,532.513613
-4,652,533.239539
-5,469,533.831853
-5,547,534.455796
-5,585,535.16575
-5,600,535.925298
-5,540,536.520706
-4,763,537.384744
-5,570,538.043822
-5,540,538.644577
-5,670,539.425747
-5,424,539.930213
-5,587,540.580378
-4,564,541.323505
-5,550,541.957668
-5,503,542.541157
-3,812,543.48342
-5,542,544.174263
-5,536,544.809835
-5,614,545.50124
-5,743,546.343461
-5,548,546.941676
-5,483,547.513352
-4,694,548.283252
-5,551,548.896155
-5,719,549.804522
-5,386,550.327834
-5,664,551.162146
-5,534,551.79775
-5,539,552.441182
-5,509,553.053255
-5,600,553.728631
-5,515,554.368304
-5,734,555.158067
-5,787,556.170436
-5,564,556.809116
-5,851,557.805329
-5,633,558.567955
-5,640,559.326755
-5,452,559.866103
-5,505,560.509132
-5,643,561.330248
-5,691,562.128986
-5,916,563.259984
-5,545,563.921935
-5,560,564.603225
-5,453,565.108162
-5,563,565.769401
-5,608,566.513187
-5,592,567.234306
