fps,nupdates,total_timesteps,explained_variance,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
30,1,5,-350.67425537109375,2.0794315338134766,0.08506809920072556,,
721,100,500,-80587.8828125,2.079436779022217,0.12052556127309799,,
841,200,1000,-761.6878662109375,2.0794270038604736,0.1347074955701828,902.0,-4.0
893,300,1500,-116.98251342773438,2.079439878463745,0.039630062878131866,667.0,-4.5
914,400,2000,-1.7996299266815186,2.0792553424835205,0.8268017768859863,617.3333333333334,-4.666666666666667
920,500,2500,-4704.314453125,2.0791990756988525,0.003637777641415596,559.25,-4.75
920,600,3000,-117.82811737060547,2.0790350437164307,0.016282016411423683,585.4,-4.8
922,700,3500,-99194.9453125,2.0781469345092773,0.00044187717139720917,575.8333333333334,-4.833333333333333
922,800,4000,-107.18193054199219,2.0775680541992188,0.0019068695837631822,575.8333333333334,-4.833333333333333
927,900,4500,-79.30209350585938,2.0781443119049072,0.007928481325507164,572.8571428571429,-4.857142857142857
931,1000,5000,-13.732189178466797,2.0768322944641113,0.00588117353618145,584.375,-4.875
931,1100,5500,-302221.5,2.070390224456787,0.009488481096923351,574.5555555555555,-4.888888888888889
